낌새	quick wittedness; divining secrets; catching a hint [Quick wittedness of someone in catching the hint of something, or having the feeling that something is developing.]	어떤 일을 알아차리는 눈치. 또는 일이 되어 가는 분위기. 	ㄲ	책::해리_포터::해리_포터와_마법사의_돌::제_2과
알아채다	sense; scent; get scent of [To know the atmosphere of something by guess.]	어떤 일의 분위기를 짐작으로 미리 알다.	ㅇ	책::해리_포터::해리_포터와_마법사의_돌::제_2과
털썩	with a thud [A word imitating the sound made when one sits down suddenly and heavily, or describing such a scene.]	갑자기 힘없이 주저앉거나 쓰러지는 소리. 또는 그 모양.	ㅌ	책::해리_포터::해리_포터와_마법사의_돌::제_2과
주저앉다	sink to one's knees [To sit weakly where one is standing.]	서 있던 자리에 힘없이 앉다.	ㅈ	책::해리_포터::해리_포터와_마법사의_돌::제_2과
꾸러미	bundle; package [Items wrapped in one package. ]	하나로 뭉쳐서 싼 물건. 	ㄲ	책::해리_포터::해리_포터와_마법사의_돌::제_2과
흡족하다	satisfied; content [Being pleased with something because it is sufficient without any shortage.]	조금도 모자람이 없을 정도로 넉넉하여 만족하다.	ㅎ	책::해리_포터::해리_포터와_마법사의_돌::제_2과
아비	dad; father [(low form) A word used to refer to or address a man who has children.]	(낮춤말로) 자녀를 둔 남자를 이르거나 부르는 말. 	ㅇ	책::해리_포터::해리_포터와_마법사의_돌::제_2과
따지다	count; value  [To think that something, in particular, is important in the act of planning or working.]	계획을 세우거나 일을 하는 데에 어떤 것을 특히 중요하게 생각하다. 	ㄸ	책::해리_포터::해리_포터와_마법사의_돌::제_2과
기특하다	praiseworthy; commendable [Someone's remark or behavior being surprising and lovable, and deserving to be boasted.]	말이나 행동이 놀라우면서 자랑스럽고 귀엽다.	ᄀ	책::해리_포터::해리_포터와_마법사의_돌::제_2과
헝클어뜨리다	tangle; entangle; dishevel [To make thin, long threads or strings entwined to such an extent that they cannot be untied.]	가늘고 긴 실이나 줄 등을 풀기 힘들 정도로 얽어 놓다.	ㅎ	책::해리_포터::해리_포터와_마법사의_돌::제_2과
원격	remote [A state of being far away.]	멀리 떨어져 있음.	ㅇ	책::해리_포터::해리_포터와_마법사의_돌::제_2과
조종	operation; driving; flying [The act of handling a machine such as an airplane, ship, etc., to make it move.]	비행기나 배 같은 기계를 다루어 움직이게 함.	ㅈ	책::해리_포터::해리_포터와_마법사의_돌::제_2과
풀다	untie [To return what has been tied, bound, or twisted back to its original state.]	매이거나 묶이거나 얽힌 것을 원래의 상태로 되게 하다.	ㅍ	책::해리_포터::해리_포터와_마법사의_돌::제_2과
포장지	wrapping paper; wrapper [Paper or plastic paper that is used to wrap or pack something.]	물건을 싸거나 꾸리는 데 쓰는 종이나 비닐. 	ㅍ	책::해리_포터::해리_포터와_마법사의_돌::제_2과
손목시계	wristwatch [A small watch made to wear on the wrist.]	손목에 찰 수 있도록 만든 작은 시계. 	ㅅ	책::해리_포터::해리_포터와_마법사의_돌::제_2과
쩍	with a smack [A word used to describe the sound made when one clicks one's tongue and then smacks one's lips once, or such a motion.]	혀를 차면서 입맛을 크게 한 번 다시는 소리. 또는 그 모양.	ㅉ	책::해리_포터::해리_포터와_마법사의_돌::제_2과
괴팍하다	freaky; bad-tempered [One's personality being strangely difficult or picky.]	사람의 성격이 매우 이상할 정도로 까다롭다.	ᄀ	책::해리_포터::해리_포터와_마법사의_돌::제_2과
양배추	cabbage [A vegetable originated in the West, shaped in a large, round ball with slightly white leaves overlapping each other inside thick and wide green ones.]	두껍고 넓은 푸른 잎 속에 약간 하얀 속잎들이 겹겹이 뭉쳐 큰 공 모양을 이룬, 서양에서 들어온 채소.	ㅇ	책::해리_포터::해리_포터와_마법사의_돌::제_2과
굼벵이	cicada larva [The larva of a cicada or beetle.]	매미나 풍뎅이의 애벌레. 	ᄀ	책::해리_포터::해리_포터와_마법사의_돌::제_2과
종종	occasionally [Now and then, from time to time.]	가끔. 때때로.	ㅈ	책::해리_포터::해리_포터와_마법사의_돌::제_2과
품다	bear; carry; hold [To have a thought, feeling, etc., in one’s heart.]	생각이나 느낌 등을 마음속에 가지다. 	ㅍ	책::해리_포터::해리_포터와_마법사의_돌::제_2과
기분 전환	change of surroundings 	불쾌하게 느껴지는 감정 상태를 바꿈. 	ㄱ	책::해리_포터::해리_포터와_마법사의_돌::제_2과
어처구니없다	absurd; ridiculous; preposterous [Being dumbfounded due to an extremely unexpected occurrence.]	너무 뜻밖의 일을 당해서 기가 막히는 듯하다.	ㅇ	책::해리_포터::해리_포터와_마법사의_돌::제_2과
엉망	mess; disaster; chaos [A state in which a certain object, place, feeling, etc., is disorderly or complicated.]	어떤 물건이나 장소, 기분 등이 지저분하거나 복잡한 상태.	ㅇ	책::해리_포터::해리_포터와_마법사의_돌::제_2과
번뜩이다	sparkle [For a big light reflected onto an object, etc., to quickly and momentarily appear, or to make this happen.]	물체 등에 반사된 큰 빛이 빠르게 잠깐씩 나타나다. 또는 그렇게 되게 하다.	ㅂ	책::해리_포터::해리_포터와_마법사의_돌::제_2과
어지르다	mess up; litter [To intertwine or jumble up an organized matter or objects.]	정돈되어 있는 일이나 물건을 뒤섞거나 뒤얽히게 하다.	ㅇ	책::해리_포터::해리_포터와_마법사의_돌::제_2과
찡그리다	frown; scowl [To wrinkle the facial muscles, brow, etc.]	얼굴의 근육이나 눈살에 힘을 주어 주름이 잡히게 하다.	ㅉ	책::해리_포터::해리_포터와_마법사의_돌::제_2과
훌쩍거리다	sniffle; snivel [To weep repeatedly while inhaling through a runny nose.]	콧물을 들이마시며 자꾸 흐느껴 울다. 	ㅎ	책::해리_포터::해리_포터와_마법사의_돌::제_2과
띄엄띄엄	intermittently [In the manner that a certain incident or sound is not continuous but repeated at intervals. ]	어떤 일이나 소리가 죽 이어지지 않고 되풀이되는 간격이 긴 모양.	ㄸ	책::해리_포터::해리_포터와_마법사의_돌::제_2과
심술궂다	ill-tempered; cross-tempered; evil-minded [Having a strong wish to harass someone or that things go wrong for him/her.]	남을 괴롭히거나 남이 잘못되기를 바라는 마음이 많다.	ㅅ	책::해리_포터::해리_포터와_마법사의_돌::제_2과
씩	grinningly [In the manner of smiling quietly, lifting the corners of the mouth.]	소리 없이 입꼬리를 올리며 한 번 웃는 모양.	ㅆ	책::해리_포터::해리_포터와_마법사의_돌::제_2과
초인종	doorbell; bell [A bell installed at a gate or door and used by a visitor to call someone inside a house.]	집의 현관문이나 대문에 설치하여, 찾아온 사람이 집 안에 있는 사람을 부를 때 쓰는 종.	ㅊ	책::해리_포터::해리_포터와_마법사의_돌::제_2과
흥분	excitement; thrill; rage [A strong surge of an emotion, being exposed to a certain stimulation; or the emotion.]	어떤 자극을 받아 감정이 세차게 치밀어 오름. 또는 그 감정.	ㅎ	책::해리_포터::해리_포터와_마법사의_돌::제_2과
단짝	best friend; close friend [The relationship between close friends who hang out together, or a close friend.]	아주 친해서 항상 함께 다니는 사이. 또는 그러한 친구.	ㄷ	책::해리_포터::해리_포터와_마법사의_돌::제_2과
비쩍	with a skinny body [In the state of being extremely thin.]	살이 없이 심하게 마른 모양.	ㅂ	책::해리_포터::해리_포터와_마법사의_돌::제_2과
난생	in one's lifetime [In all one's born days.]	세상에 태어나서.	ㄴ	책::해리_포터::해리_포터와_마법사의_돌::제_2과
바짝	close; right [In the manner of getting very close to something or tightening something very hard. ]	매우 가까이 달라붙거나 세게 죄는 모양.	ㅂ	책::해리_포터::해리_포터와_마법사의_돌::제_2과
처박다	confine [To make something or someone stay in one place.]	한곳에만 있게 하고 다른 데로 나가지 못하게 하다. 	ㅊ	책::해리_포터::해리_포터와_마법사의_돌::제_2과
가리다	block; screen; shield; obscure [To block or hide something so as to prevent it from being visible or connected to something else.]	막거나 감추어 보이거나 통하지 않게 하다.	ᄀ	책::해리_포터::해리_포터와_마법사의_돌::제_2과
대머리	baldhead; being baldheaded [A head that becomes bald due to loss of hairs, or a person with such a head.]	머리털이 빠져 벗어진 머리, 또는 그런 사람.	ㄷ	책::해리_포터::해리_포터와_마법사의_돌::제_2과
배꼽	navel; belly button [The mark in the middle of the abdomen where the umbilical cord was attached.]	배의 한가운데 있는, 탯줄이 떨어진 자리. 	ㅂ	책::해리_포터::해리_포터와_마법사의_돌::제_2과
헐렁헐렁하다	loose; baggy; slack [Being very loose without being fastened tight to something else.]	꼭 맞지 않고 매우 헐거운 듯한 느낌이 있다. 	ㅎ	책::해리_포터::해리_포터와_마법사의_돌::제_2과
해괴하다	very odd; extremely strange; bizarre [Astonishingly, extremely strange.]	크게 놀랄 정도로 매우 이상하다.	ㅎ	책::해리_포터::해리_포터와_마법사의_돌::제_2과
애쓰다	try hard [To make a great effort to achieve something.]	무엇을 이루기 위해 힘을 들이다. 	ㅇ	책::해리_포터::해리_포터와_마법사의_돌::제_2과
해명	explanation; clarification; elucidation [An act of explaining or expounding reasons or details to someone.]	이유나 내용 등을 풀어서 밝힘.	ㅎ	책::해리_포터::해리_포터와_마법사의_돌::제_2과
지긋지긋하다	excruciatingly tiresome [Extremely unpleasant and stressful enough to make a person fed up with someone or something.]	진저리가 나도록 몹시 싫고 괴롭다.	ㅈ	책::해리_포터::해리_포터와_마법사의_돌::제_2과
낡다	old; worn [An object being old and shabby.]	물건이 오래되어 허름하다.	ㄴ	책::해리_포터::해리_포터와_마법사의_돌::제_2과
털실	woolen yarn; knitting wool [Yarn made of wool.]	털로 만든 실.	ㅌ	책::해리_포터::해리_포터와_마법사의_돌::제_2과
갈색 	brown [The color of a fallen leaf, similar to dark yellow.]	마른 나뭇잎처럼 거무스름한 누런 색. 	ㄱ	책::해리_포터::해리_포터와_마법사의_돌::제_2과
뒤집어씌우다	cover [To put a hat, towel, etc., on one's head haphazardly.]	머리에 모자나 수건 등을 되는대로 마구 씌우다. 	ㄷ	책::해리_포터::해리_포터와_마법사의_돌::제_2과
